Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot32,"Rufus Baine",impossible,34,Completed,"Anesthesia","Zone prapor_022_area_1","1","17:45:53","17:48:17",
Bot32,"Rufus Baine",impossible,34,Completed,"Anesthesia","Zone prapor_022_area_2","1","17:48:22","17:50:52",
Bot32,"Rufus Baine",impossible,34,Failed,"Anesthesia","Zone prapor_022_area_3","1","17:50:57","17:52:23",
Bot33,"Owen Soltis",impossible,35,Failed,"Lend-Lease - Part 1","Item Motor Controller #3","1","17:45:54","17:54:03",
Bot41,"Тимофей Черкашин",impossible,31,Failed,"Rigged Game","Zone skier_022_area_1","1","17:46:02","17:47:35",
Bot42,"Филипп Соболевский",impossible,30,Failed,"Lend-Lease - Part 1","Item Motor Controller #2","1","17:46:03","17:47:21",
Bot40,"Сильвестр Ерхов",impossible,42,Failed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","17:46:05","17:48:45",
Bot47,"Leland Dicarlo",impossible,34,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","17:46:16","17:48:39",
Bot48,"Silas Roten",impossible,35,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","17:46:24","17:58:09",
Bot50,"Edmond Leong",impossible,38,Completed,"Rigged Game","Zone skier_022_area_3","2","17:46:28","17:52:36",
Bot50,"Edmond Leong",impossible,38,Failed,"Rigged Game","Zone skier_022_area_2","1","17:52:42","17:54:11",
Bot49,"Alton Simons",impossible,31,Failed,"Crane","Crane: Objective #1","1","17:46:29","17:49:16",
Bot51,"Виталлий Маркин",impossible,47,Failed,"Chemistry Closet","Zone place_meh_sanitar_room","1","17:50:50","18:02:20",
Bot51,"Виталлий Маркин",impossible,47,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #7","1","18:02:26","18:02:28",
Bot51,"Виталлий Маркин",impossible,47,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #8","1","18:02:33","18:03:20",
Bot51,"Виталлий Маркин",impossible,47,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #6","1","18:03:25","18:03:25",
Bot51,"Виталлий Маркин",impossible,47,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #5","1","18:03:30","18:03:36",
Bot51,"Виталлий Маркин",impossible,47,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #4","1","18:03:41","18:05:00",
