Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot208,"Graig Valles",hard,21,Failed,"Big Customer","Zone gazel","1","20:06:22","20:08:33",
Bot209,"Olin Raffa",hard,17,Failed,"Shaking up the Teller","Zone room214","1","20:06:25","20:06:27",
Bot209,"Olin Raffa",hard,17,Failed,"Shaking up the Teller","Item Bank case","1","20:06:32","20:11:23",
Bot210,"Dustin Kendig",hard,18,Failed,"Tigr Safari","Zone place_peacemaker_002_N2","1","20:06:27","20:10:43",
Bot211,"Вячеслав Бондарев",hard,2,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","20:06:29","20:06:44",
Bot211,"Вячеслав Бондарев",hard,2,Failed,"Power Switch","Power Switch: Objective #1","1","20:06:50","20:08:37",
Bot212,"Moises Raines",hard,16,Failed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","20:06:30","20:12:58",
Bot214,"Carson Bellinger",hard,7,Failed,"Dorms 3 Story Rush","Dorms 3 Story Rush: Objective #1","1","20:06:32","20:12:07",
Bot217,"Coy Vanwormer",hard,27,Failed,"Bullshit","Zone Q019_3","1","20:06:33","20:11:59",
Bot222,"Millard Robison",hard,25,Failed,"Tigr Safari","Zone place_peacemaker_002_N2","1","20:06:58","20:12:13",
Bot222,"Millard Robison",hard,25,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","20:12:18","20:13:31",
Bot222,"Millard Robison",hard,25,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","20:13:37","20:20:33",
Bot223,"Ефрем Чендев",hard,1,Completed,"Scav Checkpoint","Scav Checkpoint: Objective #1","1","20:07:04","20:15:45",
Bot223,"Ефрем Чендев",hard,1,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","20:15:50","20:16:32",
Bot223,"Ефрем Чендев",hard,1,Completed,"Glass Building","Glass Building: Objective #3","2","20:16:37","20:17:49",
Bot223,"Ефрем Чендев",hard,1,Completed,"Glass Building","Glass Building: Objective #1","1","20:17:54","20:18:23",
Bot223,"Ефрем Чендев",hard,1,Completed,"Glass Building","Glass Building: Objective #2","1","20:18:28","20:19:06",
Bot223,"Ефрем Чендев",hard,1,Completed,"Scav Checkpoint","Scav Checkpoint: Objective #2","1","20:19:11","20:20:13",
Bot223,"Ефрем Чендев",hard,1,Completed,"Factory Far Corner","Factory Far Corner: Objective #1","1","20:20:18","20:20:43",
Bot223,"Ефрем Чендев",hard,1,Completed,"Glass Building","Glass Building: Objective #4","1","20:20:48","20:21:22",
Bot223,"Ефрем Чендев",hard,1,Failed,"Container Building Ambush","Container Building Ambush: Objective #1","1","20:21:27","20:22:10",
Bot225,"Winfred Goree",hard,25,Completed,"Big Red","Big Red: Objective #3","1","20:12:49","20:18:33",
Bot225,"Winfred Goree",hard,25,Failed,"Big Red","Big Red: Objective #5","1","20:18:39","20:18:40",
Bot225,"Winfred Goree",hard,25,Completed,"Big Red","Big Red: Objective #1","1","20:18:46","20:20:47",
Bot225,"Winfred Goree",hard,25,Failed,"Big Red","Big Red: Objective #4","1","20:20:52","20:21:36",
Bot225,"Winfred Goree",hard,25,Completed,"Big Red","Big Red: Objective #2","1","20:21:41","20:23:52",
Bot225,"Winfred Goree",hard,25,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","20:23:57","20:25:03",
Bot225,"Winfred Goree",hard,25,Completed,"Storage","Storage: Objective #1","1","20:25:08","20:27:15",
Bot226,"Lupe Cremeans",hard,21,Pending,"Center Crossing Camping","Center Crossing Camping: Objective #1","1","20:12:51","N/A",
Bot227,"Fredric Coffield",hard,13,Pending,"The Extortionist","Zone dead_posylni","1","20:12:51","N/A",
Bot228,"Kelly Voorhees",hard,38,Pending,"Bullshit","Item Flash drive with fake info","1","20:12:54","N/A",
Bot232,"Руслан Волосенков",hard,11,Failed,"BP Depot","Zone fuel1","1","20:16:16","20:19:20",
Bot232,"Руслан Волосенков",hard,11,Active,"BP Depot","Zone fuel3","1","20:19:25","N/A",
Bot233,"Юрий Жук",hard,8,Failed,"Short Cut","Short Cut: Objective #1","1","20:16:28","20:19:48",
Bot236,"Веня Шиза (Denny)",normal,1,Failed,"Big Red","Big Red: Objective #4","1","20:20:22","20:21:43",
Bot237,"Antone Bormann",hard,21,Active,"Shaking up the Teller","Item Bank case","1","20:21:22","N/A",
Bot238,"Murray Caudill",hard,13,Pending,"Bus Terminal","Bus Terminal: Objective #1","1","20:21:22","N/A",
Bot244,"Артём Каррыев",hard,36,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","20:25:02","20:27:01",
