Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot41,"Максим Маринин",hard,6,Completed,"Storage","Storage: Objective #5","1","11:57:50","11:57:53",
Bot41,"Максим Маринин",hard,6,Failed,"Storage","Storage: Objective #4","1","11:57:58","11:58:23",
Bot42,"Пахом Тычкин",hard,34,Failed,"Boss Hunter","Spawn Point (-335.6 0.3 -159.7)","1","11:57:50","11:58:42",
Bot44,"Francisco Coss",hard,23,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","11:57:53","11:59:20",
Bot45,"Bryson Brindle",hard,35,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","11:57:53","11:59:37",
Bot46,"Leonard Ketchum",hard,52,Failed,"Boss Hunter","Spawn Point (-161.6 3.2 -126.5)","1","11:57:55","12:00:58",
Bot47,"Елизар Коржаков",hard,30,Failed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","11:57:55","12:01:54",
Bot48,"Ростислав Селиванов",hard,35,Failed,"Bullshit","Item Flash drive with fake info","1","11:57:56","12:01:31",
Bot49,"Савелий Бухало",hard,22,Failed,"Big Red","Big Red: Objective #4","1","11:57:58","12:00:36",
Bot58,"Markus Strauser",hard,32,Archived,"Old Gas","Old Gas: Objective #1","1","12:04:35","12:10:21",
Bot58,"Markus Strauser",hard,32,Archived,"Old Gas","Old Gas: Objective #2","1","12:10:26","12:10:43",
Bot58,"Markus Strauser",hard,32,Completed,"Short Cut","Short Cut: Objective #1","1","12:10:48","12:17:39",
Bot58,"Markus Strauser",hard,32,Completed,"Power Switch","Power Switch: Objective #1","2","12:17:44","12:17:52",
Bot58,"Markus Strauser",hard,32,Failed,"New Gas","New Gas: Objective #1","1","12:17:57","12:18:12",
Bot58,"Markus Strauser",hard,32,Failed,"New Gas","New Gas: Objective #3","1","12:18:17","12:18:21",
Bot58,"Markus Strauser",hard,32,Failed,"New Gas","New Gas: Objective #2","1","12:18:26","12:18:33",
Bot58,"Markus Strauser",hard,32,Pending,"Container Building","Container Building: Objective #2","1","12:18:38","N/A",
Bot58,"Markus Strauser",hard,32,Pending,"Container Building","Container Building: Objective #1","1","12:21:13","N/A",
Bot58,"Markus Strauser",hard,32,Active,"Factory Shacks","Factory Shacks: Objective #1","1","12:21:40","N/A",
Bot59,"Alec Hail",hard,37,Pending,"Giving Tree","Giving Tree: Objective #1","1","12:04:36","N/A",
Bot60,"Emery Guenther",hard,24,Pending,"Cargo X - Part 2","Item Secure Folder 0013","1","12:04:37","N/A",
Bot61,"Johnny Murrow",hard,11,Pending,"Bad Rep Evidence","Item Secure Folder 0031","1","12:04:38","N/A",
Bot66,"Wallace Ruch",hard,53,Failed,"The Courier","Zone mech_41_2","1","12:07:22","12:07:28",
Bot66,"Wallace Ruch",hard,53,Failed,"The Courier","Zone mech_41_1","1","12:07:29","12:07:49",
Bot66,"Wallace Ruch",hard,53,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","12:07:50","12:08:07",
Bot66,"Wallace Ruch",hard,53,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","12:08:13","12:08:55",
Bot66,"Wallace Ruch",hard,53,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","12:09:00","12:09:17",
Bot66,"Wallace Ruch",hard,53,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #9","1","12:09:22","12:09:35",
Bot66,"Wallace Ruch",hard,53,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #7","1","12:09:40","12:10:26",
Bot66,"Wallace Ruch",hard,53,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","12:10:31","12:13:06",
Bot67,"Granville Rioux",hard,8,Failed,"Operation Aquarius - Part 1","Zone room206_water","1","12:07:23","12:07:29",
Bot67,"Granville Rioux",hard,8,Failed,"The Extortionist","Item Secure Folder 0048","1","12:07:34","12:13:08",
Bot67,"Granville Rioux",hard,8,Failed,"The Extortionist","Zone vremyan_case","1","12:13:13","12:13:15",
Bot67,"Granville Rioux",hard,8,Failed,"The Extortionist","Zone dead_posylni","1","12:13:20","12:13:24",
Bot67,"Granville Rioux",hard,8,Failed,"BP Depot","Zone fuel3","1","12:13:29","12:13:30",
Bot67,"Granville Rioux",hard,8,Failed,"BP Depot","Zone fuel1","1","12:13:35","12:13:44",
