Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot5,"Всеволод Генкин",hard,18,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","23:00:31","23:00:37",
Bot5,"Всеволод Генкин",hard,18,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","23:00:42","23:02:15",
Bot5,"Всеволод Генкин",hard,18,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","23:02:20","23:07:09",
Bot5,"Всеволод Генкин",hard,18,Failed,"Database - Part 2","Item OLI cargo route documents","1","23:07:15","23:09:01",
Bot5,"Всеволод Генкин",hard,18,Completed,"Database - Part 1","Item OLI cargo manifests","1","23:09:06","23:10:18",
Bot5,"Всеволод Генкин",hard,18,Failed,"Database - Part 1","Item Goshan cargo manifests","1","23:10:23","23:15:36",
Bot6,"Демид Кудрявцев",hard,32,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","23:00:32","23:00:37",
Bot6,"Демид Кудрявцев",hard,32,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","23:00:42","23:11:24",
Bot9,"Carlos Mcmasters",hard,23,Failed,"Database - Part 1","Item IDEA cargo manifests","1","23:00:35","23:07:27",
Bot11,"Florencio Smitherman",hard,11,Failed,"North Construction Site","North Construction Site: Objective #3","1","23:00:38","23:06:35",
Bot12,"Jamaal Ramires",hard,17,Failed,"Scav Camp Area","Scav Camp Area: Objective #1","1","23:00:39","23:04:54",
Bot19,"Francis Mcminn",hard,2,Failed,"Pharma","Pharma: Objective #1","1","23:00:45","23:02:59",
Bot20,"Clair Towers",hard,9,Failed,"North Construction Site","North Construction Site: Objective #3","1","23:00:47","23:14:25",
Bot21,"Bret Waugh",hard,21,Pending,"Big Sale","Zone place_SALE_03_TREND","1","23:00:51","N/A",
Bot22,"Wesley Procopio",hard,36,Failed,"Minibus","Zone place_merch_21_2","1","23:00:53","23:16:00",
Bot22,"Wesley Procopio",hard,36,Active,"Minibus","Zone place_merch_21_3","1","23:16:05","N/A",
Bot26,"Jimmie Boehm",hard,19,Active,"OLI Back Storage","OLI Back Storage: Objective #1","1","23:07:11","N/A",
Bot27,"Von Dellinger",hard,15,Failed,"Big Sale","Zone place_SALE_03_AVOKADO","1","23:07:13","23:08:38",
Bot28,"Rolando Raymo",hard,16,Completed,"Big Sale","Zone place_SALE_03_AVOKADO","1","23:07:23","23:10:43",
Bot28,"Rolando Raymo",hard,16,Failed,"Big Sale","Zone place_SALE_03_TOPBRAND","1","23:10:48","23:11:00",
Bot29,"Thomas Chasse",hard,33,Failed,"The Key to Success","Item Clothes design handbook - Part 1","1","23:09:11","23:12:51",
Bot29,"Thomas Chasse",hard,33,Failed,"The Key to Success","Item Clothes design handbook - Part 2","1","23:12:56","23:13:40",
Bot30,"Alfonso Sinnott",hard,9,Failed,"OLI Loading Area","OLI Loading Area: Objective #2","1","23:09:13","23:15:01",
Bot31,"Елизар Филиппов",hard,25,Completed,"IDEA Office","IDEA Office: Objective #3","1","23:09:21","23:09:32",
Bot31,"Елизар Филиппов",hard,25,Completed,"IDEA Office","IDEA Office: Objective #2","3","23:09:37","23:10:27",
Bot31,"Елизар Филиппов",hard,25,Completed,"IDEA Office","IDEA Office: Objective #1","2","23:10:32","23:10:48",
Bot31,"Елизар Филиппов",hard,25,Completed,"Database - Part 1","Item IDEA cargo manifests","1","23:10:53","23:10:59",
Bot31,"Елизар Филиппов",hard,25,Failed,"Database - Part 1","Item Goshan cargo manifests","1","23:11:04","23:12:54",
Bot31,"Елизар Филиппов",hard,25,Failed,"Database - Part 1","Item OLI cargo manifests","1","23:13:00","23:19:12",
Bot31,"Елизар Филиппов",hard,25,Failed,"KIBA","KIBA: Objective #1","1","23:19:17","23:19:17",
Bot31,"Елизар Филиппов",hard,25,Failed,"ULTRA Medical Storage","ULTRA Medical Storage: Objective #1","1","23:19:22","23:19:22",
Bot32,"Богдан Пирогов",hard,1,Completed,"IDEA Office","IDEA Office: Objective #3","1","23:09:25","23:09:31",
Bot32,"Богдан Пирогов",hard,1,Pending,"IDEA Office","IDEA Office: Objective #2","1","23:09:36","N/A",
Bot34,"Rodolfo Tindal",hard,6,Failed,"Techlight","Techlight: Objective #2","1","23:11:26","23:14:34",
Bot35,"Константин Усилов",hard,10,Failed,"OLI Logistics Area","OLI Logistics Area: Objective #2","1","23:12:45","23:17:28",
Bot35,"Константин Усилов",hard,10,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #6","1","23:17:33","23:18:08",
Bot35,"Константин Усилов",hard,10,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #4","1","23:18:13","23:18:44",
Bot35,"Константин Усилов",hard,10,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #5","1","23:18:49","23:18:59",
Bot35,"Константин Усилов",hard,10,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #3","1","23:19:04","23:19:30",
Bot35,"Константин Усилов",hard,10,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #1","1","23:19:36","23:19:39",
Bot35,"Константин Усилов",hard,10,Failed,"Generic","Generic: Objective #1","1","23:19:44","23:20:52",
Bot39,"Luke Weitz",hard,19,Completed,"Big Sale","Zone place_SALE_03_TREND","1","23:15:45","23:15:59",
Bot39,"Luke Weitz",hard,19,Completed,"Big Sale","Zone place_SALE_03_DINO","1","23:16:04","23:16:37",
Bot39,"Luke Weitz",hard,19,Failed,"Big Sale","Zone place_SALE_03_KOSTIN","1","23:16:42","23:19:29",
Bot40,"Amos Bushnell",hard,21,Failed,"Big Sale","Zone place_SALE_03_TREND","1","23:15:46","23:19:13",
Bot41,"Alonzo Freitas",hard,22,Completed,"Vitamins - Part 1","Item Chemical container #2","1","23:15:48","23:19:40",
Bot41,"Alonzo Freitas",hard,22,Completed,"Vitamins - Part 1","Item Chemical container #3","1","23:19:45","23:20:45",
Bot41,"Alonzo Freitas",hard,22,Failed,"KIBA","KIBA: Objective #1","1","23:20:50","23:21:22",
Bot41,"Alonzo Freitas",hard,22,Active,"Emercom","Emercom: Objective #2","1","23:21:27","N/A",
Bot42,"Denver Hazard",hard,23,Failed,"Pharmacy","Pharmacy: Objective #1","1","23:15:50","23:18:59",
Bot43,"Захар Юханцев",hard,27,Failed,"Database - Part 2","Item OLI cargo route documents","1","23:16:17","23:17:25",
Bot44,"Dean Kear",hard,7,Completed,"Mantis","Mantis: Objective #2","1","23:18:11","23:20:03",
Bot44,"Dean Kear",hard,7,Completed,"Mantis","Mantis: Objective #3","1","23:20:08","23:20:17",
Bot44,"Dean Kear",hard,7,Active,"Mantis","Mantis: Objective #4","1","23:20:22","N/A",
Bot45,"Карл Кравчук",hard,21,Failed,"Safe Room Area","Safe Room Area: Objective #2","1","23:20:39","23:20:41",
Bot45,"Карл Кравчук",hard,21,Failed,"OLI Showroom West","OLI Showroom West: Objective #2","1","23:20:46","23:21:17",
Bot45,"Карл Кравчук",hard,21,Failed,"OLI Showroom West","OLI Showroom West: Objective #5","1","23:21:22","23:21:22",
Bot45,"Карл Кравчук",hard,21,Failed,"OLI Showroom West","OLI Showroom West: Objective #7","1","23:21:27","23:21:27",
Bot45,"Карл Кравчук",hard,21,Failed,"OLI Showroom West","OLI Showroom West: Objective #3","1","23:21:32","23:21:32",
Bot45,"Карл Кравчук",hard,21,Failed,"OLI Showroom West","OLI Showroom West: Objective #1","1","23:21:37","23:21:37",
Bot45,"Карл Кравчук",hard,21,Failed,"OLI Showroom West","OLI Showroom West: Objective #6","1","23:21:42","23:21:42",
Bot45,"Карл Кравчук",hard,21,Failed,"OLI Showroom West","OLI Showroom West: Objective #4","1","23:21:47","23:21:47",
Bot46,"Панкрат Скрябин",hard,32,Failed,"OLI Showroom East","OLI Showroom East: Objective #1","1","23:20:42","23:21:49",
Bot46,"Панкрат Скрябин",hard,32,Failed,"OLI Showroom East","OLI Showroom East: Objective #2","1","23:21:54","23:21:55",
Bot46,"Панкрат Скрябин",hard,32,Failed,"OLI Showroom East","OLI Showroom East: Objective #3","1","23:22:00","23:22:00",
Bot46,"Панкрат Скрябин",hard,32,Failed,"OLI Showroom East","OLI Showroom East: Objective #4","1","23:22:05","23:22:07",
Bot46,"Панкрат Скрябин",hard,32,Failed,"KIBA Alarm Panel 1","KIBA Alarm Panel 1: Objective #1","1","23:22:12","23:22:17",
Bot46,"Панкрат Скрябин",hard,32,Failed,"Goshan Automotive Section","Goshan Automotive Section: Objective #1","1","23:22:18","23:22:22",
Bot46,"Панкрат Скрябин",hard,32,Active,"Goshan Automotive Section","Goshan Automotive Section: Objective #2","1","23:22:27","N/A",
Bot47,"Norman Gupton",hard,19,Failed,"ULTRA Medical Storage","ULTRA Medical Storage: Objective #1","1","23:20:43","23:20:48",
Bot47,"Norman Gupton",hard,19,Failed,"OLI Logistics Back Offices","OLI Logistics Back Offices: Objective #1","1","23:20:53","23:21:27",
Bot47,"Norman Gupton",hard,19,Pending,"OLI Logistics Back Offices","OLI Logistics Back Offices: Objective #3","1","23:21:32","N/A",
Bot47,"Norman Gupton",hard,19,Active,"OLI Logistics Back Offices","OLI Logistics Back Offices: Objective #4","1","23:22:52","N/A",
Bot48,"Лаврентий Дюженков",hard,39,Pending,"Generic","Generic: Objective #3","1","23:20:45","N/A",
Bot49,"Arnulfo Mclain",hard,35,Failed,"Techlight","Techlight: Objective #2","2","23:20:46","23:21:06",
Bot50,"Augustus Seiber",hard,23,Failed,"OLI Logistics Area","OLI Logistics Area: Objective #2","1","23:20:47","23:21:40",
Bot51,"Геннадий Кортнев",hard,22,Failed,"Emercom","Emercom: Objective #3","1","23:23:08","23:23:42",
Bot51,"Геннадий Кортнев",hard,22,Failed,"Emercom","Emercom: Objective #2","1","23:23:48","23:23:48",
Bot51,"Геннадий Кортнев",hard,22,Failed,"Emercom","Emercom: Objective #1","1","23:23:53","23:23:53",
Bot51,"Геннадий Кортнев",hard,22,Failed,"KIBA","KIBA: Objective #1","1","23:23:58","23:23:58",
Bot51,"Геннадий Кортнев",hard,22,Failed,"Mantis","Mantis: Objective #2","1","23:24:03","23:24:03",
Bot51,"Геннадий Кортнев",hard,22,Failed,"Mantis","Mantis: Objective #3","1","23:24:08","23:24:08",
Bot51,"Геннадий Кортнев",hard,22,Failed,"Mantis","Mantis: Objective #1","1","23:24:13","23:24:13",
Bot51,"Геннадий Кортнев",hard,22,Failed,"Mantis","Mantis: Objective #4","1","23:24:18","23:24:18",
