Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot35,"Гурам Барыга (Bryon)",normal,1,Completed,"OLI Loading Area","OLI Loading Area: Objective #5","1","18:35:49","18:36:27",
Bot35,"Гурам Барыга (Bryon)",normal,1,Completed,"OLI Loading Area","OLI Loading Area: Objective #4","1","18:36:32","18:36:42",
Bot35,"Гурам Барыга (Bryon)",normal,1,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #1","1","18:36:47","18:39:43",
Bot35,"Гурам Барыга (Bryon)",normal,1,Failed,"OLI Logistics Area","OLI Logistics Area: Objective #4","1","18:39:48","18:40:15",
Bot35,"Гурам Барыга (Bryon)",normal,1,Failed,"OLI Logistics Area","OLI Logistics Area: Objective #2","1","18:40:20","18:40:20",
Bot35,"Гурам Барыга (Bryon)",normal,1,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #3","1","18:40:25","18:40:42",
Bot35,"Гурам Барыга (Bryon)",normal,1,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #5","1","18:40:47","18:41:02",
Bot35,"Гурам Барыга (Bryon)",normal,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #6","1","18:41:07","18:41:59",
Bot35,"Гурам Барыга (Bryon)",normal,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #7","1","18:42:04","18:42:18",
Bot35,"Гурам Барыга (Bryon)",normal,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #2","1","18:42:23","18:42:31",
Bot35,"Гурам Барыга (Bryon)",normal,1,Pending,"OLI Showroom West","OLI Showroom West: Objective #3","1","18:42:36","N/A",
Bot41,"Cristopher Hyler",hard,5,Failed,"Mantis","Mantis: Objective #1","1","18:36:25","18:37:30",
Bot42,"Sheldon Gallman",hard,26,Failed,"Database - Part 1","Item Goshan cargo manifests","1","18:36:26","18:38:04",
Bot43,"Mac Winfield",hard,6,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","1","18:36:27","18:37:42",
Bot44,"Brendon Templeman",hard,12,Failed,"Emercom Extract North Entry","Emercom Extract North Entry: Objective #1","1","18:38:05","18:40:53",
Bot45,"Prince Lamanna",hard,2,Active,"OLI SE Office","OLI SE Office: Objective #1","1","18:38:06","N/A",
Bot46,"Adolfo Oppenheim",hard,17,Failed,"KIBA","KIBA: Objective #1","1","18:38:11","18:41:18",
Bot47,"Clinton Sever",hard,2,Failed,"Emercom Extract North Entry","Emercom Extract North Entry: Objective #1","1","18:38:19","18:40:22",
Bot48,"Tyron Hayek",hard,4,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","1","18:38:22","18:39:08",
Bot48,"Tyron Hayek",hard,4,Pending,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","18:39:13","N/A",
Bot48,"Tyron Hayek",hard,4,Pending,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","1","18:40:04","N/A",
Bot48,"Tyron Hayek",hard,4,Pending,"Generic","Generic: Objective #3","1","18:41:02","N/A",
Bot48,"Tyron Hayek",hard,4,Pending,"Generic","Generic: Objective #2","1","18:41:22","N/A",
Bot48,"Tyron Hayek",hard,4,Pending,"Generic","Generic: Objective #1","1","18:42:02","N/A",
Bot48,"Tyron Hayek",hard,4,Active,"East Wall Container","East Wall Container: Objective #1","1","18:42:22","N/A",
Bot49,"Vince Mcgruder",hard,38,Pending,"Pharmacy","Pharmacy: Objective #1","1","18:38:27","N/A",
Bot50,"Jarvis Danna",hard,35,Pending,"IDEA Office","IDEA Office: Objective #3","1","18:38:36","N/A",
Bot53,"Леонид Коротков",hard,25,Active,"KIBA","KIBA: Objective #1","1","18:40:59","N/A",
Bot54,"Аристарх Кулибин",hard,39,Pending,"OLI NE Office","OLI NE Office: Objective #1","1","18:41:03","N/A",
Bot56,"Lynn Pisano",hard,16,Active,"KIBA","KIBA: Objective #1","1","18:41:35","N/A",
Bot57,"Carl Hightower",hard,22,Pending,"KIBA","KIBA: Objective #1","1","18:41:37","N/A",
