Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot8,"Сильвестр Скрябин",hard,4,Failed,"Big Red","Big Red: Objective #2","1","21:49:38","21:54:44",
Bot8,"Сильвестр Скрябин",hard,4,Failed,"Big Red","Big Red: Objective #4","1","21:54:22","21:54:44",
Bot9,"Георгий Чекудаев",hard,1,Failed,"Trailer Park Cabin","Trailer Park Cabin: Objective #1","1","21:49:39","21:57:23",
Bot10,"Анатолий Кривоухов",hard,15,Failed,"BP Depot","Zone fuel4","1","21:49:40","21:55:58",
Bot10,"Анатолий Кривоухов",hard,15,Failed,"BP Depot","Zone fuel2","1","21:56:03","21:56:45",
Bot11,"Артемий Ермаков",hard,26,Failed,"Farming - Part 3","Zone place_SADOVOD_03","1","21:49:41","21:59:37",
Bot19,"Edgardo Olds",hard,1,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","21:50:19","21:53:42",
Bot19,"Edgardo Olds",hard,1,Failed,"Storage","Storage: Objective #2","1","21:53:47","21:57:09",
Bot20,"Milton Howes",hard,27,Failed,"Bullshit","Item Flash drive with fake info","1","21:50:21","21:59:48",
Bot21,"Felipe Mccay",hard,11,Failed,"BP Depot","Zone fuel4","1","21:50:21","21:58:23",
Bot21,"Felipe Mccay",hard,11,Failed,"BP Depot","Zone fuel2","1","21:58:28","22:00:23",
Bot22,"Hiram Sly",hard,14,Failed,"Big Red","Big Red: Objective #4","1","21:50:22","21:57:35",
Bot1,"Василий Медников",hard,3,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","21:52:51","21:55:10",
Bot24,"Buster Baldridge",hard,20,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","22:01:12","22:06:24",
Bot24,"Buster Baldridge",hard,20,Active,"Tigr Safari","Zone place_peacemaker_002_N1","1","22:06:29","N/A",
Bot25,"Denis Melville",hard,21,Failed,"Big Red","Big Red: Objective #4","1","22:01:13","22:03:37",
Bot26,"Desmond Ellingson",hard,21,Failed,"Farming - Part 3","Item Package of graphics cards","1","22:01:14","22:01:30",
Bot27,"Joshua Farish",hard,34,Failed,"Bullshit","Item Flash drive with fake info","1","22:01:15","22:02:31",
Bot28,"Корней Цехановецкий",hard,24,Completed,"Garage","Garage: Objective #1","1","22:01:49","22:02:05",
Bot28,"Корней Цехановецкий",hard,24,Failed,"Garage","Garage: Objective #3","1","22:02:10","22:02:23",
Bot28,"Корней Цехановецкий",hard,24,Completed,"Garage","Garage: Objective #2","1","22:02:28","22:02:31",
Bot28,"Корней Цехановецкий",hard,24,Active,"Tigr Safari","Zone place_peacemaker_002_N3","1","22:02:36","N/A",
Bot29,"Артемий Брежнев",hard,8,Pending,"The Extortionist","Zone dead_posylni","1","22:01:51","N/A",
Bot30,"Эдуард Дёгтев",hard,17,Pending,"Tigr Safari","Zone place_peacemaker_002_N3","1","22:01:52","N/A",
Bot31,"Константин Слепынин",hard,7,Pending,"The Extortionist","Zone dead_posylni","1","22:01:53","N/A",
Bot32,"Мартын Сергеев",hard,6,Failed,"BP Depot","Zone fuel2","1","22:01:54","22:05:57",
Bot37,"Quinn Reinhart",hard,7,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","22:06:13","22:07:23",
Bot37,"Quinn Reinhart",hard,7,Failed,"Big Red","Big Red: Objective #4","1","22:07:28","22:07:57",
Bot37,"Quinn Reinhart",hard,7,Pending,"Big Red","Big Red: Objective #5","1","22:08:02","N/A",
Bot38,"Gaylord Burditt",hard,17,Pending,"Storage","Storage: Objective #1","1","22:06:14","N/A",
Bot39,"Sonny Barile",hard,28,Pending,"Big Red","Big Red: Objective #4","1","22:06:15","N/A",
Bot40,"Raymond Lockhart",hard,16,Pending,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","22:06:17","N/A",
