Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot119,"Артемий Исаев",hard,15,Pending,"Chemical - Part 3","Item Syringe with a chemical","1","22:13:27","N/A",
Bot117,"Георгий Вагин",hard,20,Active,"Spawn Rush","Spawn Rush: Objective #1","1","22:13:27","N/A",
Bot120,"Reid Rumley",hard,2,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","22:13:27","22:14:12",
Bot122,"Dan Buttram",hard,2,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","22:13:27","22:14:42",
Bot118,"Степан Коротков",hard,20,Pending,"Chemical - Part 3","Item Syringe with a chemical","1","22:13:27","N/A",
Bot121,"Winston Peach",hard,2,Failed,"Unloading Area Rafters","Unloading Area Rafters: Objective #1","1","22:13:27","22:15:13",
