Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot119,"Isaiah Knaus",hard,28,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","21:56:58","21:57:33",
Bot119,"Isaiah Knaus",hard,28,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","21:57:13","21:57:33",
Bot119,"Isaiah Knaus",hard,28,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","21:57:13","21:57:33",
Bot120,"Jarrett Chubb",hard,10,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","21:56:59","21:59:16",
Bot121,"Luciano Myres",hard,20,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","21:57:00","21:57:21",
Bot128,"Damian Lagasse",hard,19,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","21:59:56","22:00:54",
Bot132,"Neil Boling",hard,18,Active,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","22:03:13","N/A",
Bot133,"Vito Mederos",hard,31,Pending,"1st Floor Office","1st Floor Office: Objective #2","1","22:03:14","N/A",
Bot134,"Luigi Durkin",hard,13,Active,"Delivery From the Past","Zone case_extraction","1","22:03:21","N/A",
