Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot124,"Вадим Зюганов",hard,7,Completed,"Power Station","Power Station: Objective #1","1","22:40:12","22:45:18",
Bot124,"Вадим Зюганов",hard,7,Completed,"Power Station","Power Station: Objective #2","1","22:45:23","22:46:10",
Bot124,"Вадим Зюганов",hard,7,Completed,"Power Station","Power Station: Objective #3","1","22:46:16","22:46:33",
Bot124,"Вадим Зюганов",hard,7,Failed,"Tank on Bridge","Tank on Bridge: Objective #1","1","22:46:38","22:49:13",
Bot126,"Макей Емельянов",hard,34,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N3","1","22:40:17","22:42:44",
Bot126,"Макей Емельянов",hard,34,Pending,"Colleagues - Part 1","Zone ter_023_area_1_1","1","22:42:49","N/A",
Bot126,"Макей Емельянов",hard,34,Active,"Colleagues - Part 1","Zone ter_023_area_2_1","1","22:44:18","N/A",
Bot134,"Тимур Кулагин",hard,41,Pending,"Chemistry Closet","Zone place_meh_sanitar_room","1","22:40:32","N/A",
Bot138,"Landon Conaway",hard,15,Failed,"Spa Tour - Part 2","Zone place_peacemaker_008_2_N2","1","22:42:40","22:45:22",
Bot139,"Joel Haygood",hard,11,Failed,"Chemical - Part 1","Item Secure Folder 0013","1","22:42:43","22:50:00",
Bot140,"Reese Delia",hard,25,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","22:42:44","22:46:35",
Bot140,"Reese Delia",hard,25,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","22:46:40","22:50:09",
Bot142,"Columbus Hazzard",hard,38,Failed,"Chemistry Closet","Zone place_meh_sanitar_room","1","22:43:17","22:44:19",
Bot145,"Леонид Бесфамильный",hard,22,Failed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","22:45:37","22:46:40",
Bot146,"Владислав Мигунов",hard,16,Failed,"Scrap Metal","Zone place_peacemaker_003_N3","1","22:45:38","22:46:48",
Bot148,"Руслан Сазонов",hard,25,Failed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","22:45:40","22:46:05",
Bot149,"Карл Герасимов",hard,9,Failed,"Crane Sniping","Crane Sniping: Objective #4","1","22:45:41","22:46:41",
Bot149,"Карл Герасимов",hard,9,Failed,"Crane Sniping","Crane Sniping: Objective #3","1","22:46:40","22:46:41",
Bot150,"Raleigh Hisey",hard,8,Completed,"Weather Station Tower Base","Weather Station Tower Base: Objective #2","1","22:45:41","22:48:17",
Bot150,"Raleigh Hisey",hard,8,Completed,"Weather Station Tower Base","Weather Station Tower Base: Objective #1","1","22:48:22","22:48:34",
Bot150,"Raleigh Hisey",hard,8,Archived,"Weather Station","Weather Station: Objective #1","2","22:48:39","22:52:00",
Bot150,"Raleigh Hisey",hard,8,Archived,"Weather Station","Weather Station: Objective #2","3","22:52:05","22:52:54",
Bot150,"Raleigh Hisey",hard,8,Archived,"Tank on Bridge","Tank on Bridge: Objective #1","1","22:52:59","22:56:21",
Bot150,"Raleigh Hisey",hard,8,Completed,"Power Station","Power Station: Objective #2","1","22:56:26","23:02:29",
Bot150,"Raleigh Hisey",hard,8,Completed,"Power Station","Power Station: Objective #3","1","23:02:34","23:03:08",
Bot150,"Raleigh Hisey",hard,8,Completed,"Power Station","Power Station: Objective #1","1","23:03:13","23:03:37",
Bot150,"Raleigh Hisey",hard,8,Active,"Bus Terminal","Bus Terminal: Objective #1","1","23:03:42","N/A",
Bot151,"Broderick Berwick",hard,27,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","22:45:44","23:02:22",
Bot152,"Keith Wild",hard,34,Pending,"Rigged Game","Zone skier_022_area_3","1","22:45:45","N/A",
Bot154,"Duane Torain",hard,38,Completed,"Rigged Game","Zone skier_022_area_2","2","22:47:14","22:50:30",
Bot154,"Duane Torain",hard,38,Completed,"Rigged Game","Zone skier_022_area_1","2","22:50:36","22:54:30",
Bot154,"Duane Torain",hard,38,Failed,"Rigged Game","Zone skier_022_area_3","1","22:54:35","22:57:29",
Bot155,"Lucius Estell",hard,36,Pending,"Gas Station Sniping","Gas Station Sniping: Objective #3","1","22:47:16","N/A",
Bot155,"Lucius Estell",hard,36,Failed,"Gas Station Sniping","Gas Station Sniping: Objective #2","1","22:57:29","23:00:48",
Bot155,"Lucius Estell",hard,36,Failed,"Gas Station Sniping","Gas Station Sniping: Objective #1","1","23:00:49","23:00:49",
Bot155,"Lucius Estell",hard,36,Active,"Power Station Sniping","Power Station Sniping: Objective #3","2","23:00:50","N/A",
Bot156,"Jeffrey Mowry",hard,51,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #2","1","22:47:20","22:57:50",
