Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot8,"Maria Conde",hard,17,Failed,"Wet Job - Part 3","Zone place_peacemaker_010_3","1","21:02:32","21:04:51",
Bot9,"Wally Escobar",hard,29,Failed,"Health Care Privacy - Part 1","Zone ter_013_area_2","1","21:02:33","21:04:04",
Bot10,"Burl Aranda",hard,13,Failed,"The Cult - Part 1","Zone place_peacemaker_007_1_N1","1","21:02:34","21:04:23",
Bot11,"Фёдор Кортнев",hard,19,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","21:02:35","21:03:17",
Bot11,"Фёдор Кортнев",hard,19,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","21:03:22","21:05:27",
Bot11,"Фёдор Кортнев",hard,19,Failed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","21:05:32","21:13:25",
Bot11,"Фёдор Кортнев",hard,19,Failed,"Wet Job - Part 4","Item Sliderkey Flash drive","1","21:13:30","21:17:10",
Bot12,"Демиан Чупов",hard,26,Active,"Signal - Part 3","Zone place_SIGNAL_03_3","1","21:02:36","N/A",
Bot13,"Харитон Суворов",hard,6,Pending,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #1","1","21:02:36","N/A",
Bot14,"Всеволод Павлов",hard,21,Pending,"Signal - Part 3","Zone place_SIGNAL_03_3","1","21:02:38","N/A",
Bot15,"Вячеслав Бабыкин",hard,25,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N3","1","21:02:39","21:14:16",
Bot20,"Карл Рыжов",hard,7,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #4","1","21:09:12","21:10:33",
Bot20,"Карл Рыжов",hard,7,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #3","1","21:10:38","21:10:52",
Bot20,"Карл Рыжов",hard,7,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #2","1","21:10:57","21:17:25",
Bot20,"Карл Рыжов",hard,7,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #3","1","21:17:31","21:17:31",
Bot20,"Карл Рыжов",hard,7,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #2","1","21:17:36","21:18:08",
Bot20,"Карл Рыжов",hard,7,Active,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #4","1","21:18:13","N/A",
Bot21,"Иннокентий Кулик",hard,23,Failed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N2","1","21:09:13","21:17:05",
Bot22,"Tad Hammon",hard,38,Active,"Chemistry Closet","Zone place_meh_sanitar_room","1","21:10:14","N/A",
Bot23,"Korey South",hard,25,Failed,"Wet Job - Part 3","Zone place_peacemaker_010_3","1","21:10:16","21:10:51",
Bot24,"Jerald Goetz",hard,13,Failed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","21:11:38","21:12:20",
Bot25,"Михей Чуркин",hard,22,Completed,"Colleagues - Part 1","Zone ter_023_area_3_1","1","21:14:59","21:17:16",
Bot25,"Михей Чуркин",hard,22,Active,"Colleagues - Part 1","Zone ter_023_area_1_1","1","21:17:21","N/A",
Bot26,"Осип Аникин",hard,1,Pending,"Weather Station","Weather Station: Objective #1","1","21:15:00","N/A",
