Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot85,"Сильвестр Мамин",hard,19,Pending,"1st Floor Office","1st Floor Office: Objective #1","1","21:56:47","N/A",
Bot86,"Спиридон Булыгин",hard,19,Active,"Spawn Rush","Spawn Rush: Objective #1","1","21:56:47","N/A",
Bot87,"Леонид Пожарский",hard,13,Failed,"Farming - Part 1","Zone place_SADOVOD_01_1","1","21:56:47","21:58:56",
Bot83,"Анатолий Островский",hard,10,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","21:56:47","N/A",
Bot84,"Филат Ильясов",hard,24,Pending,"Scout","Zone place_pacemaker_SCOUT_03","1","21:56:47","N/A",
Bot82,"Фома Виноградов",hard,3,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","21:56:48","21:58:13",
Bot82,"Фома Виноградов",hard,3,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","21:56:48","21:58:13",
Bot82,"Фома Виноградов",hard,3,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","21:56:48","21:58:13",
