Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot295,"Артём Карташов",hard,8,Failed,"Operation Aquarius - Part 1","Zone room206_water","1","18:01:03","18:01:51",
Bot295,"Артём Карташов",hard,8,Failed,"Bad Rep Evidence","Item Secure Folder 0031","1","18:01:56","18:04:41",
Bot301,"Nathan Kolb",hard,2,Archived,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","18:01:16","18:01:29",
Bot301,"Nathan Kolb",hard,2,Completed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","18:01:34","18:06:31",
Bot301,"Nathan Kolb",hard,2,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","18:06:36","18:10:32",
Bot301,"Nathan Kolb",hard,2,Completed,"Power Switch","Power Switch: Objective #1","2","18:10:37","18:12:51",
Bot301,"Nathan Kolb",hard,2,Completed,"Warehouse 4","Warehouse 4: Objective #3","1","18:12:56","18:14:12",
Bot301,"Nathan Kolb",hard,2,Completed,"Warehouse 4","Warehouse 4: Objective #2","1","18:14:17","18:14:26",
Bot301,"Nathan Kolb",hard,2,Failed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","18:14:32","18:18:19",
Bot302,"Latyn Cavallo",hard,6,Failed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","18:01:18","18:11:22",
Bot303,"Rufus Farrior",hard,36,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","18:01:19","18:17:35",
Bot309,"Стас Кошкин",hard,15,Archived,"Big Red","Big Red: Objective #2","1","18:01:32","18:03:05",
Bot309,"Стас Кошкин",hard,15,Archived,"Big Red","Big Red: Objective #3","1","18:03:10","18:07:25",
Bot309,"Стас Кошкин",hard,15,Archived,"Big Red","Big Red: Objective #5","1","18:07:30","18:07:36",
Bot309,"Стас Кошкин",hard,15,Archived,"Big Red","Big Red: Objective #1","1","18:07:41","18:07:52",
Bot309,"Стас Кошкин",hard,15,Archived,"Big Red","Big Red: Objective #4","1","18:07:58","18:08:13",
Bot309,"Стас Кошкин",hard,15,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","18:08:18","18:10:30",
Bot309,"Стас Кошкин",hard,15,Failed,"Golden Swag","Item Golden Zibbo lighter","1","18:10:32","18:12:07",
Bot309,"Стас Кошкин",hard,15,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","18:12:12","18:14:03",
Bot309,"Стас Кошкин",hard,15,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","18:14:08","18:18:39",
Bot309,"Стас Кошкин",hard,15,Failed,"Tigr Safari","Zone place_peacemaker_002_N2","1","18:18:44","18:19:41",
Bot309,"Стас Кошкин",hard,15,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","18:19:46","18:24:40",
Bot309,"Стас Кошкин",hard,15,Active,"New Gas","New Gas: Objective #1","1","18:24:45","N/A",
Bot315,"Сильвестр Потапов",hard,26,Pending,"Boss Hunter","Spawn Point (-335.6 0.3 -159.7)","1","18:01:52","N/A",
Bot317,"Jonah Olague",hard,23,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","18:02:16","18:04:29",
Bot317,"Jonah Olague",hard,23,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","18:04:34","18:04:54",
Bot317,"Jonah Olague",hard,23,Failed,"Farming - Part 3","Item Package of graphics cards","1","18:04:59","18:05:42",
Bot318,"Всеслав Татаринцев",hard,4,Pending,"Storage","Storage: Objective #5","1","18:02:16","N/A",
Bot319,"Rolf Blaney",hard,26,Failed,"Boss Hunter","Spawn Point (-247.5 -0.2 -14.3)","1","18:02:26","18:03:56",
Bot321,"Aldo Reidy",hard,17,Failed,"Pharmacist","Zone vaz_feld","1","18:06:12","18:08:42",
Bot322,"Emerson Blades",hard,29,Failed,"Substation","Substation: Objective #4","1","18:06:13","18:07:50",
Bot323,"Timothy Schutte",hard,17,Failed,"Pharmacist","Zone vaz_feld","1","18:06:15","18:06:59",
Bot328,"Пахом Тычкин",hard,31,Failed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","18:11:42","18:15:59",
Bot329,"Павел Гарин",hard,15,Failed,"Tigr Safari","Zone place_peacemaker_002_N2","1","18:11:43","18:14:07",
Bot330,"Афанасий Авилов",hard,27,Failed,"Out of Curiosity","Zone gazel","1","18:11:43","18:16:07",
Bot331,"Демиан Раскалов",hard,1,Failed,"Bus Terminal","Bus Terminal: Objective #1","1","18:12:57","18:13:17",
Bot337,"Scot Honore",hard,10,Failed,"Golden Swag","Item Golden Zibbo lighter","1","18:16:41","18:17:11",
Bot338,"Harlan Kowalsky",hard,30,Pending,"Short Cut","Short Cut: Objective #1","1","18:16:45","N/A",
Bot339,"Maximo Donmoyer",hard,3,Completed,"Warehouse 4","Warehouse 4: Objective #1","1","18:16:49","18:19:50",
Bot339,"Maximo Donmoyer",hard,3,Completed,"Warehouse 4","Warehouse 4: Objective #2","1","18:19:55","18:20:06",
Bot339,"Maximo Donmoyer",hard,3,Completed,"Warehouse 4","Warehouse 4: Objective #3","1","18:20:12","18:21:33",
Bot339,"Maximo Donmoyer",hard,3,Completed,"Old Gas","Old Gas: Objective #2","1","18:21:38","18:22:54",
Bot339,"Maximo Donmoyer",hard,3,Active,"Old Gas","Old Gas: Objective #1","1","18:22:59","N/A",
Bot340,"Chi Wynne",hard,34,Completed,"Old Gas","Old Gas: Objective #2","1","18:16:58","18:18:06",
Bot340,"Chi Wynne",hard,34,Completed,"Old Gas","Old Gas: Objective #1","1","18:18:11","18:19:20",
Bot340,"Chi Wynne",hard,34,Completed,"Giving Tree","Giving Tree: Objective #1","1","18:19:25","18:20:00",
Bot340,"Chi Wynne",hard,34,Active,"Fortress","Fortress: Objective #5","1","18:20:05","N/A",
Bot342,"Ernest Harshman",hard,16,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #7","2","18:18:34","18:20:30",
Bot342,"Ernest Harshman",hard,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #12","1","18:20:35","18:20:40",
Bot342,"Ernest Harshman",hard,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #13","1","18:20:45","18:20:45",
Bot342,"Ernest Harshman",hard,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #3","1","18:20:50","18:23:42",
Bot342,"Ernest Harshman",hard,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #11","1","18:23:44","18:23:44",
Bot342,"Ernest Harshman",hard,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #10","1","18:23:49","18:23:49",
Bot342,"Ernest Harshman",hard,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","18:23:52","18:23:52",
Bot342,"Ernest Harshman",hard,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","18:23:57","18:23:57",
Bot342,"Ernest Harshman",hard,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","18:24:02","18:24:49",
Bot343,"Robby Mcardle",hard,16,Failed,"Short Cut","Short Cut: Objective #1","1","18:18:36","18:22:22",
Bot344,"Louie Mccomb",hard,20,Failed,"Short Cut","Short Cut: Objective #1","1","18:18:37","18:22:01",
Bot348,"Clark Delia",hard,23,Active,"Fortress","Fortress: Objective #9","1","18:24:19","N/A",
Bot349,"Royal Felt",hard,22,Pending,"Fortress","Fortress: Objective #9","1","18:24:27","N/A",
