Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot360,"Oliver Kloss",hard,10,Completed,"Spawn Rush","Spawn Rush: Objective #1","1","18:38:15","18:38:29",
Bot360,"Oliver Kloss",hard,10,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","18:38:34","18:42:32",
Bot361,"Boris Santoyo",hard,19,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","18:38:17","18:43:37",
Bot362,"Rayford Fredericksen",hard,23,Failed,"Farming - Part 3","Zone place_SADOVOD_03","1","18:38:18","18:44:35",
Bot363,"Cary Theodore",hard,28,Failed,"Farming - Part 3","Zone place_SADOVOD_03","1","18:38:19","18:39:52",
Bot364,"Chadwick Pendergast",hard,27,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","18:38:21","18:41:41",
Bot377,"Parker Jessup",hard,5,Failed,"Delivery From the Past","Item Secure Folder 0022","1","18:39:07","18:39:53",
Bot378,"Jackie Wicklund",hard,2,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","18:39:08","18:40:19",
Bot379,"Dylan Lingle",hard,13,Failed,"Delivery From the Past","Item Secure Folder 0022","1","18:39:11","18:40:57",
Bot380,"Barney Gravatt",hard,23,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","18:39:12","18:43:12",
Bot385,"Марк Обнизов",hard,30,Failed,"Bullshit","Item Flash drive with fake info","1","18:44:19","18:44:48",
Bot385,"Марк Обнизов",hard,30,Failed,"Bullshit","Zone Q019_3","1","18:44:53","18:47:03",
Bot386,"Альберт Угличинин",hard,5,Failed,"Warehouse 17","Warehouse 17: Objective #1","1","18:44:41","18:47:52",
Bot387,"Юрий Апалков",hard,21,Failed,"Garage","Garage: Objective #1","1","18:44:42","18:46:55",
Bot388,"Erwin Carraway",hard,5,Completed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","18:45:00","18:46:59",
Bot388,"Erwin Carraway",hard,5,Failed,"BP Depot","Zone fuel2","1","18:47:04","18:50:41",
Bot389,"Kurtis Alexis",hard,26,Failed,"Bullshit","Zone Q019_3","1","18:45:02","18:56:37",
