Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"Руслан Грешнoв",hard,8,Failed,"Introduction","Item Encrypted message","1","12:30:22","12:31:52",
Bot37,"Сильвестр Бершов",hard,23,Failed,"Boss Hunter","Spawn Point (-140.8 61.5 -206.8)","1","12:30:22","12:38:06",
Bot37,"Сильвестр Бершов",hard,23,Completed,"Boss Hunter","Spawn Point (-63.8 19.2 -233.0)","1","12:38:11","12:39:03",
Bot37,"Сильвестр Бершов",hard,23,Completed,"Boss Hunter","Spawn Point (-12.3 13.8 -229.3)","1","12:39:08","12:39:21",
Bot37,"Сильвестр Бершов",hard,23,Completed,"Boss Hunter","Spawn Point (72.9 11.9 -220.5)","1","12:39:27","12:40:29",
Bot37,"Сильвестр Бершов",hard,23,Completed,"Boss Hunter","Spawn Point (102.6 7.2 -152.2)","1","12:40:34","12:40:52",
Bot37,"Сильвестр Бершов",hard,23,Completed,"Boss Hunter","Spawn Point (25.6 11.3 -226.6)","1","12:40:57","12:41:17",
Bot37,"Сильвестр Бершов",hard,23,Completed,"Boss Hunter","Spawn Point (-60.3 18.9 -230.1)","1","12:41:22","12:41:48",
Bot37,"Сильвестр Бершов",hard,23,Completed,"Boss Hunter","Spawn Point (94.9 6.8 -203.7)","1","12:41:53","12:43:13",
Bot37,"Сильвестр Бершов",hard,23,Active,"Health Care Privacy - Part 3","Item Blood sample","1","12:43:19","N/A",
Bot38,"Валерий Хабенский",hard,35,Pending,"Gratitude","Zone place_THX_15","1","12:30:24","N/A",
Bot39,"Демиан Шкуратов",hard,22,Completed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","12:30:25","12:38:40",
Bot39,"Демиан Шкуратов",hard,22,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","12:38:45","12:39:44",
Bot39,"Демиан Шкуратов",hard,22,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","12:39:49","12:40:19",
Bot39,"Демиан Шкуратов",hard,22,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","12:40:24","12:41:24",
Bot39,"Демиан Шкуратов",hard,22,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","12:41:29","12:42:14",
Bot39,"Демиан Шкуратов",hard,22,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","12:42:19","12:43:14",
Bot39,"Демиан Шкуратов",hard,22,Active,"Steady Signal","Zone q14_8_2","1","12:43:19","N/A",
Bot40,"Прохор Лобов",hard,17,Pending,"Steady Signal","Zone q14_8_5","1","12:30:25","N/A",
Bot41,"Тимофей Свалов",hard,28,Pending,"Old Sawmill","Old Sawmill: Objective #1","1","12:30:27","N/A",
Bot50,"Михей Шаршин",hard,2,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","12:36:58","12:37:33",
Bot50,"Михей Шаршин",hard,2,Completed,"Sawmill Camp","Sawmill Camp: Objective #1","1","12:37:38","12:38:03",
Bot50,"Михей Шаршин",hard,2,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","12:38:08","12:39:00",
Bot50,"Михей Шаршин",hard,2,Completed,"Introduction","Zone huntsman_001","1","12:39:05","12:40:07",
Bot50,"Михей Шаршин",hard,2,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","12:40:12","12:41:34",
Bot50,"Михей Шаршин",hard,2,Active,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","12:41:39","N/A",
Bot51,"Бронислав Щербаков",hard,18,Pending,"Gratitude","Zone place_THX_15","1","12:36:58","N/A",
Bot52,"Руслан Шикалов",hard,25,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","12:36:59","12:44:08",
Bot55,"Нестор Кондуров",hard,31,Completed,"Gratitude","Zone place_THX_15","2","12:41:59","12:43:16",
Bot55,"Нестор Кондуров",hard,31,Completed,"Informed Means Armed","Zone place_skier_11_1","2","12:43:22","12:43:47",
Bot55,"Нестор Кондуров",hard,31,Active,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","12:43:52","N/A",
