Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot112,"Jamey Croteau",hard,7,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","22:05:59","22:09:18",
Bot109,"Пантелей Смехов",hard,34,Pending,"1st Floor Office","1st Floor Office: Objective #1","1","22:05:59","N/A",
Bot110,"Макар Юрков",hard,27,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","22:05:59","22:06:19",
Bot111,"Алексей Крутой",hard,17,Pending,"Spawn Rush","Spawn Rush: Objective #1","1","22:05:59","N/A",
Bot108,"Осип Шабуров",hard,16,Pending,"Scout","Zone place_pacemaker_SCOUT_03","1","22:05:59","N/A",
Bot107,"Святослав Петухов",hard,3,Active,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","22:05:59","N/A",
