Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot5,"Raphael Lamarr",hard,10,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #1","1","17:05:44","17:07:48",
Bot5,"Raphael Lamarr",hard,10,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #3","1","17:07:53","17:08:21",
Bot5,"Raphael Lamarr",hard,10,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #2","1","17:08:26","17:08:44",
Bot5,"Raphael Lamarr",hard,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #4","1","17:08:49","17:09:18",
Bot5,"Raphael Lamarr",hard,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #5","1","17:09:23","17:10:03",
Bot5,"Raphael Lamarr",hard,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #6","1","17:10:08","17:14:35",
Bot6,"Blaine Trombley",hard,21,Completed,"Wet Job - Part 5","Item Working hard drive","1","17:05:45","17:25:28",
Bot6,"Blaine Trombley",hard,21,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #3","1","17:25:33","17:28:57",
Bot6,"Blaine Trombley",hard,21,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #1","1","17:29:02","17:29:18",
Bot6,"Blaine Trombley",hard,21,Active,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #2","1","17:29:23","N/A",
Bot7,"Филимон Гулин",hard,24,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","17:05:46","17:06:50",
Bot7,"Филимон Гулин",hard,24,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","17:06:55","17:09:09",
Bot7,"Филимон Гулин",hard,24,Failed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","17:09:14","17:12:36",
Bot8,"Данила Носов",hard,34,Failed,"Rigged Game","Zone skier_022_area_3","1","17:05:47","17:14:00",
Bot9,"Леонтий Тихомиров",hard,23,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","17:05:48","17:13:28",
Bot10,"Василий Чугунов",hard,26,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","17:05:49","17:06:08",
Bot10,"Василий Чугунов",hard,26,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","17:06:13","17:08:22",
Bot10,"Василий Чугунов",hard,26,Failed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","17:08:27","17:16:58",
Bot11,"Пантелей Островерхов",hard,15,Failed,"Boss Hunter","Spawn Point (-520.4 -25.7 284.6)","1","17:05:50","17:14:47",
Bot12,"Анатолий Ремизов",hard,10,Failed,"Radio Tower","Radio Tower: Objective #1","1","17:05:51","17:15:12",
Bot13,"Игнат Тихвинский",hard,17,Failed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","17:05:53","17:16:34",
Bot29,"Gaston Patten",hard,48,Completed,"Nostalgia","Item Photo album","1","17:15:51","17:21:16",
Bot29,"Gaston Patten",hard,48,Failed,"Chemistry Closet","Zone place_meh_sanitar_room","1","17:21:22","17:26:37",
Bot30,"Eloy Gourdine",hard,21,Pending,"Signal - Part 3","Zone place_SIGNAL_03_2","1","17:15:52","N/A",
Bot31,"Alvin Tinney",hard,7,Failed,"Power Station","Power Station: Objective #1","1","17:15:53","17:16:06",
Bot31,"Alvin Tinney",hard,7,Pending,"Resort East Wing 2nd Floor","Resort East Wing 2nd Floor: Objective #6","1","17:26:37","N/A",
Bot32,"Yong Waggoner",hard,24,Failed,"Colleagues - Part 1","Zone ter_023_area_3_1","1","17:15:57","17:20:20",
Bot33,"Melvin Stenson",hard,21,Failed,"Scrap Metal","Zone place_peacemaker_003_N3","1","17:15:58","17:19:03",
Bot34,"Adrian Degraff",hard,21,Failed,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","17:15:59","17:21:08",
Bot35,"Илюха Трехмерный (Jaylen)",normal,1,Failed,"Pier","Pier: Objective #2","1","17:18:04","17:21:13",
Bot36,"Трифон Кальянщик (Micah)",normal,1,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #2","1","17:19:18","17:20:58",
Bot37,"Moshe Ortis",hard,6,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #1","1","17:21:00","17:24:41",
Bot38,"Logan Bensen",hard,26,Failed,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","17:21:01","17:27:23",
Bot39,"Barton Sheeley",hard,24,Active,"Rigged Game","Zone skier_022_area_2","1","17:21:02","N/A",
Bot40,"Kirk Reading",hard,4,Failed,"Gas Station Sniping","Gas Station Sniping: Objective #3","1","17:21:03","17:28:39",
Bot43,"Leo Seth",hard,4,Failed,"Resort East Wing 1st Floor","Resort East Wing 1st Floor: Objective #1","1","17:21:27","17:22:06",
Bot43,"Leo Seth",hard,4,Failed,"Resort East Wing 1st Floor","Resort East Wing 1st Floor: Objective #2","1","17:22:11","17:24:13",
Bot46,"Theron Coley",hard,2,Pending,"Radio Tower","Radio Tower: Objective #1","1","17:25:35","N/A",
Bot46,"Theron Coley",hard,2,Completed,"Weather Station","Weather Station: Objective #1","2","17:25:50","17:28:15",
Bot46,"Theron Coley",hard,2,Completed,"Weather Station","Weather Station: Objective #2","3","17:28:21","17:29:20",
Bot46,"Theron Coley",hard,2,Active,"Tank on Bridge","Tank on Bridge: Objective #1","1","17:29:25","N/A",
Bot47,"Jean Brassell",hard,37,Pending,"Radio Tower","Radio Tower: Objective #1","1","17:25:35","N/A",
Bot49,"Арчи Пшеничка (Thaddeus)",normal,1,Failed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #1","1","17:29:00","17:29:07",
Bot49,"Арчи Пшеничка (Thaddeus)",normal,1,Active,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #2","1","17:29:12","N/A",
