Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot59,"Кирилл Шелепов",hard,24,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","21:46:50","21:46:50",
Bot58,"Иван Лисицын",hard,18,Active,"Chemical - Part 3","Item Syringe with a chemical","1","21:46:50","N/A",
Bot61,"Прохор Шаповалов",hard,20,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","21:46:50","21:46:50",
Bot61,"Прохор Шаповалов",hard,20,Pending,"1st Floor Office","1st Floor Office: Objective #1","1","21:46:56","N/A",
Bot63,"Sergio Salvatore",hard,20,Pending,"Scout","Zone place_pacemaker_SCOUT_03","1","21:46:50","N/A",
Bot62,"Marquis Babin",hard,16,Active,"Farming - Part 1","Zone place_SADOVOD_01_1","1","21:46:50","N/A",
Bot60,"Лев Гаранин",hard,2,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","21:46:51","21:47:39",
