Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Elroy Ureno",hard,38,Active,"Knight Garages","Knight Garages: Objective #2","1","19:37:47","N/A",
Bot3,"Terrence Holtman",hard,24,Pending,"Reserve","Zone huntsman_029","1","19:37:47","N/A",
Bot2,"Kim Mandell",hard,19,Pending,"Disease History","Item Medical record #1","1","19:37:47","N/A",
Bot6,"Clay Lansberry",hard,23,Pending,"Back Door","Zone mechanik_exit_area_1","1","19:37:47","N/A",
Bot4,"Arthur Rupert",hard,16,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","19:37:47","19:38:02",
Bot4,"Arthur Rupert",hard,16,Failed,"The Bunker - Part 2","Zone prapor_025_area_3","1","19:38:07","19:38:12",
Bot4,"Arthur Rupert",hard,16,Completed,"The Bunker - Part 2","Zone prapor_025_area_5","1","19:38:18","19:39:18",
Bot4,"Arthur Rupert",hard,16,Active,"The Bunker - Part 2","Zone prapor_025_area_1","1","19:39:23","N/A",
Bot5,"Rogelio Hopping",hard,6,Pending,"Command Center","Command Center: Objective #9","1","19:37:47","N/A",
Bot11,"Архипп Москалёв",hard,9,Failed,"Command Center","Command Center: Objective #1","1","19:37:58","19:40:08",
Bot13,"Демьян Дмитриев",hard,17,Failed,"Disease History","Item Medical record #1","1","19:37:58","19:38:01",
Bot13,"Демьян Дмитриев",hard,17,Pending,"Command Center","Command Center: Objective #1","1","19:38:06","N/A",
Bot12,"Ростислав Деникин",hard,1,Completed,"White King","White King: Objective #3","1","19:37:58","19:38:14",
Bot12,"Ростислав Деникин",hard,1,Active,"White King","White King: Objective #11","1","19:40:08","N/A",
Bot14,"Аркадий Заяц (Nestor)",normal,1,Completed,"Checkpoint","Checkpoint: Objective #1","1","19:38:02","19:40:00",
Bot14,"Аркадий Заяц (Nestor)",normal,1,Failed,"Trenches","Trenches: Objective #2","1","19:40:05","19:40:14",
