Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"Anderson Pellegrino",hard,6,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","17:32:24","17:33:20",
Bot15,"Anderson Pellegrino",hard,6,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","17:33:25","17:39:13",
Bot15,"Anderson Pellegrino",hard,6,Completed,"Search Mission","Zone pr_scout_base","1","17:39:18","17:42:00",
Bot15,"Anderson Pellegrino",hard,6,Completed,"Search Mission","Zone pr_scout_col","1","17:42:05","17:43:37",
Bot15,"Anderson Pellegrino",hard,6,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","17:43:43","17:47:13",
Bot15,"Anderson Pellegrino",hard,6,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #2","1","17:47:18","17:50:59",
Bot16,"Antwan Poitras",hard,27,Pending,"Steady Signal","Zone q14_8_5","1","17:32:24","N/A",
Bot17,"Adalberto Santillo",hard,38,Active,"The Blood of War - Part 3","Zone bar_fuel3_2","1","17:32:24","N/A",
Bot21,"Chet Brammer",hard,24,Failed,"Supply Plans","Item Secure Folder 0052","1","17:36:49","17:39:17",
Bot20,"Devon Pantoja",hard,24,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","17:36:49","17:38:07",
Bot27,"Карл Лужков",hard,18,Failed,"Supply Plans","Item Secure Folder 0052","1","17:41:52","17:51:07",
Bot28,"Вениамин Сигалов",hard,26,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","17:41:52","17:51:34",
Bot26,"Даниил Рыбаков",hard,33,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","17:41:52","17:44:16",
Bot26,"Даниил Рыбаков",hard,33,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","17:44:21","17:46:19",
Bot26,"Даниил Рыбаков",hard,33,Failed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","17:46:25","17:48:59",
Bot34,"Chang Newell",hard,10,Completed,"Scav Base","Scav Base: Objective #3","1","17:47:36","17:51:16",
Bot34,"Chang Newell",hard,10,Completed,"Scav Base","Scav Base: Objective #2","4","17:51:21","17:51:53",
Bot34,"Chang Newell",hard,10,Completed,"Scav Base","Scav Base: Objective #4","2","17:51:58","17:52:15",
Bot34,"Chang Newell",hard,10,Active,"Scav Base","Scav Base: Objective #1","1","17:52:20","N/A",
Bot32,"Zachary Purifoy",hard,35,Failed,"Chumming","Zone place_skier_12_3","1","17:47:36","17:51:14",
Bot33,"Grover Dall",hard,30,Completed,"Scav Base","Scav Base: Objective #3","1","17:47:37","17:47:40",
Bot33,"Grover Dall",hard,30,Pending,"Scav Base","Scav Base: Objective #2","1","17:47:45","N/A",
Bot37,"Анатолий Сиянович",hard,17,Pending,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","17:51:19","N/A",
Bot36,"Иннокентий Лелух",hard,18,Pending,"Scav Town Sniping","Scav Town Sniping: Objective #3","1","17:51:20","N/A",
Bot36,"Иннокентий Лелух",hard,18,Pending,"Scav Town Sniping","Scav Town Sniping: Objective #1","1","17:51:20","N/A",
Bot36,"Иннокентий Лелух",hard,18,Active,"Scav Town Sniping","Scav Town Sniping: Objective #2","2","17:51:35","N/A",
Bot38,"Самуил Панков",hard,9,Pending,"Old Sawmill","Old Sawmill: Objective #1","1","17:51:20","N/A",
