[2024-07-03T17:31:19.769Z] debug: 	RAM: 31.93GB
[2024-07-03T17:31:19.769Z] debug: 	PATH: Qzpcc3B0XEFraS5TZXJ2ZXIuZXhl
[2024-07-03T17:31:19.769Z] debug: 	PATH: Qzpcc3B0XEFraS5TZXJ2ZXIuZXhl
[2024-07-03T17:31:19.769Z] debug: 	Server: 3.8.3
[2024-07-03T17:31:19.769Z] debug: 	Date: 1715594841109
[2024-07-03T17:31:19.769Z] debug: 	Commit: 01783e295be916352ccb1078cf8351b273610c8e
[2024-07-03T17:31:19.780Z] info: 	Importing database...
[2024-07-03T17:31:19.849Z] warn: 	Corter-ModSync: 'user\mods' was changed while the server is running. If server mods were updated, those changes will not take effect until after the server is restarted.
[2024-07-03T17:31:23.030Z] info: 	Database import finished
[2024-07-03T17:31:23.067Z] info: 	[SBNV]: Your N-15s can also be mounted on helmets now!
[2024-07-03T17:31:23.070Z] info: 	[Questing Bots] Applying debug options...
[2024-07-03T17:31:24.473Z] succ: 	[AmmoStats]: Successful. Running in prepend mode.
[2024-07-03T17:31:24.473Z] succ: 	[AmmoStats]: Realism compatibility enabled.
[2024-07-03T17:31:24.757Z] info: 	[LootingBots-ServerMod] Removing loot from usec
[2024-07-03T17:31:24.757Z] info: 	[LootingBots-ServerMod] Removing loot from bear
[2024-07-03T17:31:24.757Z] info: 	[LootingBots-ServerMod] Marking items with DiscardLimits as InsuranceDisabled
[2024-07-03T17:31:24.759Z] info: 	[LootingBots-ServerMod] Global config DiscardLimitsEnabled set to false
[2024-07-03T17:31:26.402Z] info: 	[Questing Bots] Removing blacklisted brain types from being used for PMC's...
[2024-07-03T17:31:26.402Z] info: 	[Questing Bots] Removing blacklisted brain types from being used for PMC's...done. Removed entries: 132
[2024-07-03T17:31:26.403Z] warn: 	[Questing Bots] SWAG Detected. Disabling bot spawning.
[2024-07-03T17:31:26.468Z] succ: 	Started webserver at http://195.213.83.72:6969
[2024-07-03T17:31:26.468Z] succ: 	Started websocket at ws://195.213.83.72:6969
[2024-07-03T17:31:26.469Z] succ: 	Server is running, do not close while playing SPT, Happy playing!!
[2024-07-03T17:31:31.694Z] debug: 	Saved 15 profiles, took: 215.68ms
[2024-07-03T17:31:51.580Z] debug: 	Saved 15 profiles, took: 77.81ms
[2024-07-03T17:32:11.602Z] debug: 	Saved 15 profiles, took: 75.41ms
[2024-07-03T17:32:31.632Z] debug: 	Saved 15 profiles, took: 73.79ms
[2024-07-03T17:32:51.669Z] debug: 	Saved 15 profiles, took: 79.38ms
[2024-07-03T17:33:11.704Z] debug: 	Saved 15 profiles, took: 73.38ms
[2024-07-03T17:33:31.755Z] debug: 	Saved 15 profiles, took: 76.63ms
[2024-07-03T17:33:51.762Z] debug: 	Saved 15 profiles, took: 75.15ms
[2024-07-03T17:34:11.801Z] debug: 	Saved 15 profiles, took: 74.92ms
[2024-07-03T17:34:31.820Z] debug: 	Saved 15 profiles, took: 74.30ms
[2024-07-03T17:34:51.850Z] debug: 	Saved 15 profiles, took: 75.49ms
[2024-07-03T17:35:11.903Z] debug: 	Saved 15 profiles, took: 96.60ms
[2024-07-03T17:35:31.909Z] debug: 	Saved 15 profiles, took: 72.00ms
[2024-07-03T17:35:51.933Z] debug: 	Saved 15 profiles, took: 76.01ms
[2024-07-03T17:36:11.970Z] debug: 	Saved 15 profiles, took: 72.65ms
[2024-07-03T17:36:31.997Z] debug: 	Saved 15 profiles, took: 73.84ms
[2024-07-03T17:36:52.034Z] debug: 	Saved 15 profiles, took: 73.47ms
[2024-07-03T17:37:12.081Z] debug: 	Saved 15 profiles, took: 71.51ms
[2024-07-03T17:37:32.118Z] debug: 	Saved 15 profiles, took: 73.48ms
[2024-07-03T17:37:52.135Z] debug: 	Saved 15 profiles, took: 71.41ms
[2024-07-03T17:38:12.162Z] debug: 	Saved 15 profiles, took: 71.29ms
[2024-07-03T17:38:32.203Z] debug: 	Saved 15 profiles, took: 76.54ms
[2024-07-03T17:38:52.228Z] debug: 	Saved 15 profiles, took: 76.29ms
[2024-07-03T17:39:12.252Z] debug: 	Saved 15 profiles, took: 74.97ms
[2024-07-03T17:39:32.294Z] debug: 	Saved 15 profiles, took: 76.40ms
[2024-07-03T17:39:52.336Z] debug: 	Saved 15 profiles, took: 80.26ms
[2024-07-03T17:40:12.376Z] debug: 	Saved 15 profiles, took: 76.73ms
[2024-07-03T17:40:32.409Z] debug: 	Saved 15 profiles, took: 70.90ms
[2024-07-03T17:40:52.445Z] debug: 	Saved 15 profiles, took: 75.22ms
[2024-07-03T17:41:12.494Z] debug: 	Saved 15 profiles, took: 81.28ms
[2024-07-03T17:41:32.517Z] debug: 	Saved 15 profiles, took: 79.05ms
[2024-07-03T17:41:52.571Z] debug: 	Saved 15 profiles, took: 84.86ms
[2024-07-03T17:42:12.596Z] debug: 	Saved 15 profiles, took: 76.51ms
[2024-07-03T17:42:32.625Z] debug: 	Saved 15 profiles, took: 81.80ms
[2024-07-03T17:42:52.648Z] debug: 	Saved 15 profiles, took: 81.26ms
[2024-07-03T17:43:12.659Z] debug: 	Saved 15 profiles, took: 77.56ms
[2024-07-03T17:43:32.704Z] debug: 	Saved 15 profiles, took: 74.33ms
[2024-07-03T17:43:52.731Z] debug: 	Saved 15 profiles, took: 76.50ms
[2024-07-03T17:44:12.776Z] debug: 	Saved 15 profiles, took: 79.05ms
[2024-07-03T17:44:32.803Z] debug: 	Saved 15 profiles, took: 73.34ms
[2024-07-03T17:44:52.825Z] debug: 	Saved 15 profiles, took: 76.33ms
[2024-07-03T17:45:12.854Z] debug: 	Saved 15 profiles, took: 73.13ms
[2024-07-03T17:45:32.886Z] debug: 	Saved 15 profiles, took: 74.94ms
[2024-07-03T17:45:52.911Z] debug: 	Saved 15 profiles, took: 73.98ms
[2024-07-03T17:46:12.966Z] debug: 	Saved 15 profiles, took: 81.41ms
[2024-07-03T17:46:32.989Z] debug: 	Saved 15 profiles, took: 74.93ms
[2024-07-03T17:46:53.033Z] debug: 	Saved 15 profiles, took: 76.53ms
[2024-07-03T17:47:13.062Z] debug: 	Saved 15 profiles, took: 71.61ms
[2024-07-03T17:47:33.104Z] debug: 	Saved 15 profiles, took: 66.05ms
[2024-07-03T17:47:53.117Z] debug: 	Saved 15 profiles, took: 69.79ms
[2024-07-03T17:48:13.149Z] debug: 	Saved 15 profiles, took: 73.19ms
[2024-07-03T17:48:33.199Z] debug: 	Saved 15 profiles, took: 71.29ms
[2024-07-03T17:48:53.231Z] debug: 	Saved 15 profiles, took: 70.29ms
[2024-07-03T17:49:13.284Z] debug: 	Saved 15 profiles, took: 72.91ms
[2024-07-03T17:49:33.297Z] debug: 	Saved 15 profiles, took: 71.04ms
[2024-07-03T17:49:53.336Z] debug: 	Saved 15 profiles, took: 69.84ms
[2024-07-03T17:50:13.379Z] debug: 	Saved 15 profiles, took: 83.45ms
